Designator,Footprint,Quantity,Value,LCSC Part #
"BT1_10, BT1_9, BT1_8, BT1_7, BT1_6, BT1_5, BT1_4, BT1_3, BT1_2, BT1",TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,10,BatteryHolder_2xAAA,
"BZ1_10, BZ1_9, BZ1_8, BZ1_7, BZ1_6, BZ1_5, BZ1_4, BZ1_3, BZ1_2, BZ1",Buzzer_D14mm_H7mm_P10mm,10,Buzzer,
"C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1",1206,10,0.1µF,
"D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",LED_D3.0mm,10,TSAL6200,
"D4_10, D4_9, D4_8, D4_7, D4_6, D4_5, D4_4, D4_3, D4_2, D4",LED_D5.0mm-4_RGB_Wide_Pins,10,LiteOn_LTST-E563C,
"J1_10, J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1",TestPoint_Pad_1.0x1.0mm,10,Conn_01x01_Pin,
"R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1",1206,10,47R,
"R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2",1206,10,300R,
"R3_10, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3",1206,10,100R,
"U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",DIP-8_W7.62mm_Socket,10,ATtiny85-20P,
"U2_10, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",Vishay_MINICAST-3Pin,10,TSOP382xx,
