Designator,Mid X,Mid Y,Rotation,Layer
BZ1_10,33.5,-41.0,270.0,top
BZ1_9,61.5,-11.5,270.0,top
BZ1_8,105.5,-17.0,90.0,top
BZ1_7,49.5,-17.0,90.0,top
BZ1_6,89.5,-41.0,270.0,top
BZ1_5,21.5,-46.5,90.0,top
BZ1_4,133.5,-46.5,90.0,top
BZ1_3,117.5,-11.5,270.0,top
BZ1_2,77.5,-46.5,90.0,top
BZ1,5.5,-11.5,270.0,top
C1_10,48.0625,-45.5,180.0,bottom
C1_9,20.0625,-16.0,180.0,bottom
C1_8,6.9375,-42.0,0.0,bottom
C1_7,34.9375,-12.5,0.0,bottom
C1_6,62.9375,-42.0,0.0,bottom
C1_5,76.0625,-16.0,180.0,bottom
C1_4,90.9375,-12.5,0.0,bottom
C1_3,118.9375,-42.0,0.0,bottom
C1_2,104.0625,-45.5,180.0,bottom
C1,132.0625,-16.0,180.0,bottom
D1_10,68.582331,-33.921463,0.0,top
D1_9,126.417669,-24.078537,180.0,top
D1_8,70.417669,-24.078537,180.0,top
D1_7,42.417669,-53.578537,180.0,top
D1_6,14.417669,-24.078537,180.0,top
D1_5,40.582331,-4.421463,0.0,top
D1_4,12.582331,-33.921463,0.0,top
D1_3,124.582331,-33.921463,0.0,top
D1_2,98.417669,-53.578537,180.0,top
D1,96.582331,-4.421463,0.0,top
D4_10,133.4985,-4.835,0.0,top
D4_9,77.4985,-4.835,0.0,top
D4_8,49.4985,-34.335,0.0,top
D4_7,21.4985,-4.835,0.0,top
D4_6,33.5015,-23.665,180.0,top
D4_5,5.5015,-53.165,180.0,top
D4_4,117.5015,-53.165,180.0,top
D4_3,105.4985,-34.335,0.0,top
D4_2,61.5015,-53.165,180.0,top
D4,89.5015,-23.665,180.0,top
R1_10,42.5,-8.95,90.0,bottom
R1_9,68.5,-19.55,270.0,bottom
R1_8,14.5,-38.45,90.0,bottom
R1_7,96.5,-49.05,270.0,bottom
R1_6,126.5,-38.45,90.0,bottom
R1_5,124.5,-19.55,270.0,bottom
R1_4,40.5,-49.05,270.0,bottom
R1_3,12.5,-19.55,270.0,bottom
R1_2,98.5,-8.95,90.0,bottom
R1,70.5,-38.45,90.0,bottom
R2_10,12.0,-50.0,270.0,top
R2_9,40.0,-20.5,270.0,top
R2_8,15.0,-8.0,90.0,top
R2_7,43.0,-37.5,90.0,top
R2_6,71.0,-8.0,90.0,top
R2_5,96.0,-20.5,270.0,top
R2_4,124.0,-50.0,270.0,top
R2_3,99.0,-37.5,90.0,top
R2_2,68.0,-50.0,270.0,top
R2,127.0,-8.0,90.0,top
R3_10,70.5,-27.0,0.0,bottom
R3_9,124.5,-31.0,180.0,bottom
R3_8,98.5,-56.5,0.0,bottom
R3_7,40.5,-1.5,180.0,bottom
R3_6,126.5,-27.0,0.0,bottom
R3_5,42.5,-56.5,0.0,bottom
R3_4,14.5,-27.0,0.0,bottom
R3_3,96.5,-1.5,180.0,bottom
R3_2,12.5,-31.0,180.0,bottom
R3,68.5,-31.0,180.0,bottom
U1_10,119.0,-42.005,270.0,top
U1_9,91.0,-12.505,270.0,top
U1_8,104.0,-45.495,90.0,top
U1_7,63.0,-42.005,270.0,top
U1_6,35.0,-12.505,270.0,top
U1_5,48.0,-45.495,90.0,top
U1_4,20.0,-15.995,90.0,top
U1_3,132.0,-15.995,90.0,top
U1_2,7.0,-42.005,270.0,top
U1,76.0,-15.995,90.0,top
U2_10,117.082331,-33.946463,180.0,bottom
U2_9,33.082331,-4.446463,180.0,bottom
U2_8,105.917669,-53.553537,0.0,bottom
U2_7,133.917669,-24.053537,0.0,bottom
U2_6,5.082331,-33.946463,180.0,bottom
U2_5,21.917669,-24.053537,0.0,bottom
U2_4,49.917669,-53.553537,0.0,bottom
U2_3,61.082331,-33.946463,180.0,bottom
U2_2,77.917669,-24.053537,0.0,bottom
U2,89.082331,-4.446463,180.0,bottom
